Transaction Code,Transaction Description,Transaction Category,Posting date of transaction,Transaction Date,Merchant Info DBA Name,Transaction Amount,Debit or Credit,Merchant Category Code,Merchant City,Merchant Country,Merchant Postal Code,Merchant State/Province,Conversion Rate
3001,FEDEX268575826 T1800 4633339 ON,1,2025-09-03,2025-09-02,FEDEX268575826,23.98,Debit,4215.0,T1800 4633339,CAN,L4W 5K6,ON,0.0
3001,CAT SCALE COMPANY 5632846263 IA,1,2025-09-03,2025-09-02,CAT SCALE COMPANY,20.89,Debit,5046.0,5632846263,USA,52773,IA,1.381694915
3001,LOVE'S #0687 INSIDE SOUTH JACKSON IL,1,2025-09-03,2025-09-02,LOVE'S #0687 INSIDE,1179.09,Debit,5541.0,SOUTH JACKSON,USA,62650,IL,1.376503249
3001,TDOT OSOW PERMITS NASHVILLE TN,1,2025-09-03,2025-09-02,TDOT OSOW PERMITS,255.49,Debit,9399.0,NASHVILLE,USA,37243,TN,1.376518666
3001,SERVICE FEE FRANKLIN TN,1,2025-09-03,2025-09-02,SERVICE FEE,6.01,Debit,9399.0,FRANKLIN,USA,37067,TN,1.375586854
3001,KINGPIN TRAILERS LTD EDMONTON AB,1,2025-09-03,2025-09-02,KINGPIN TRAILERS LTD,103.2,Debit,5561.0,EDMONTON,CAN,T5V 1A1,AB,0.0
3001,MCSD OSOW INDIANAPOLIS IN,1,2025-09-03,2025-09-02,MCSD OSOW,91.78,Debit,9399.0,INDIANAPOLIS,USA,46241,IN,1.381790123
3001,WWW COSTCO CA 888-426-7826 ON,1,2025-09-03,2025-09-02,WWW COSTCO CA,38.84,Debit,5300.0,888-426-7826,CAN,K2E 1C5,ON,0.0
3001,LOVE'S #0340 INSIDE LAS VEGAS NV,1,2025-09-03,2025-09-02,LOVE'S #0340 INSIDE,454.68,Debit,5541.0,LAS VEGAS,USA,89165,NV,1.381814217
3001,KYTC MOTOR CARRIERS FRANKFORT KY,1,2025-09-03,2025-09-02,KYTC MOTOR CARRIERS,88.38,Debit,9399.0,FRANKFORT,USA,40601,KY,1.381730769
3001,VCN*NORTHCAROLINADOT GARNER NC,1,2025-09-03,2025-09-02,VCN*NORTHCAROLINADOT,42.33,Debit,9399.0,GARNER,USA,27529,NC,1.376666667
3001,IDOT ITAP OS OW SPRINGFILED IL,1,2025-09-03,2025-09-02,IDOT ITAP OS OW,302.92,Debit,9399.0,SPRINGFILED,USA,62764,IL,1.381820732
3001,LOVE'S #0874 INSIDE LAFAYETTE IN,1,2025-09-03,2025-09-02,LOVE'S #0874 INSIDE,20.89,Debit,5541.0,LAFAYETTE,USA,47905,IN,1.381694915
3001,LOVE'S TIRE CARE #0374 BARSTOW CA,1,2025-09-03,2025-09-02,LOVE'S TIRE CARE #0374,94.31,Debit,7538.0,BARSTOW,USA,92311,CA,1.381739
3001,LOVE'S #0687 INSIDE SOUTH JACKSON IL,1,2025-09-03,2025-09-02,LOVE'S #0687 INSIDE,77.83,Debit,5541.0,SOUTH JACKSON,USA,62650,IL,1.376540972
3001,NV DOT-PERMITS CARSON CITY NV,1,2025-09-03,2025-09-02,NV DOT-PERMITS,35.27,Debit,9399.0,CARSON CITY,USA,98712,NV,1.3764
3001,RELIABLE PERMIT SOLUTI TARZANA CA,1,2025-09-03,2025-09-02,RELIABLE PERMIT SOLUTI,71.96,Debit,7399.0,TARZANA,USA,91356,CA,1.376470588
3001,VA DMV HAULING PERMITS RICHMOND VA,1,2025-09-03,2025-09-02,VA DMV HAULING PERMITS,90.48,Debit,9399.0,RICHMOND,USA,232202051,VA,1.376422891
3001,COFFEE CUP #8 VIVIAN SD,1,2025-09-03,2025-09-02,COFFEE CUP #8,774.35,Debit,5541.0,VIVIAN,USA,57576,SD,1.381804214
3001,IA DOT MOTOR CARRIER S ANKENY IA,1,2025-09-04,2025-09-02,IA DOT MOTOR CARRIER S,51.7,Debit,9399.0,ANKENY,USA,50021,IA,1.381917808
